c TIGER/Line graph USA-road-d.NY
c
p sp 1000 99729
c graph contains 1000 nodes and 99729 arcs
c
a 1 4 977
a 1 8 908
a 1 13 395
a 1 14 863
a 1 18 385
a 1 27 527
a 1 33 63
a 1 38 995
a 1 47 240
a 1 51 121
a 1 61 413
a 1 64 89
a 1 73 373
a 1 77 568
a 1 79 873
a 1 80 435
a 1 81 754
a 1 85 556
a 1 87 130
a 1 97 392
a 1 98 619
a 1 105 345
a 1 107 35
a 1 109 404
a 1 110 760
a 1 112 22
a 1 118 62
a 1 121 650
a 1 122 927
a 1 123 319
a 1 133 10
a 1 134 904
a 1 136 226
a 1 145 405
a 1 153 118
a 1 155 963
a 1 157 931
a 1 158 180
a 1 169 957
a 1 185 522
a 1 186 653
a 1 188 721
a 1 201 610
a 1 213 25
a 1 215 288
a 1 216 482
a 1 219 459
a 1 223 41
a 1 227 390
a 1 229 589
a 1 234 784
a 1 238 8
a 1 245 285
a 1 248 819
a 1 249 412
a 1 258 44
a 1 259 192
a 1 260 473
a 1 263 45
a 1 274 119
a 1 278 143
a 1 289 55
a 1 293 22
a 1 298 721
a 1 299 811
a 1 300 139
a 1 309 683
a 1 311 93
a 1 315 671
a 1 327 991
a 1 345 614
a 1 347 323
a 1 349 712
a 1 350 576
a 1 351 699
a 1 361 999
a 1 362 409
a 1 364 158
a 1 367 392
a 1 369 798
a 1 373 98
a 1 375 175
a 1 383 806
a 1 401 382
a 1 403 345
a 1 404 217
a 1 407 778
a 1 415 537
a 1 417 41
a 1 424 822
a 1 429 655
a 1 431 184
a 1 432 228
a 1 433 28
a 1 435 256
a 1 436 390
a 1 444 518
a 1 452 938
a 1 453 482
a 1 462 540
a 1 473 928
a 1 478 448
a 1 480 214
a 1 487 991
a 1 506 23
a 1 509 913
a 1 510 990
a 1 514 431
a 1 516 422
a 1 521 733
a 1 523 581
a 1 557 519
a 1 565 907
a 1 577 386
a 1 578 252
a 1 580 252
a 1 587 954
a 1 590 381
a 1 595 140
a 1 603 346
a 1 610 555
a 1 614 146
a 1 619 881
a 1 625 782
a 1 630 525
a 1 635 136
a 1 644 524
a 1 645 42
a 1 647 73
a 1 652 5
a 1 655 934
a 1 657 353
a 1 659 804
a 1 674 147
a 1 677 343
a 1 694 826
a 1 709 59
a 1 710 684
a 1 711 609
a 1 715 832
a 1 716 416
