c TIGER/Line graph USA-road-d.NY
c
p sp 50 264
c graph contains 50 nodes and 264 arcs
c
a 1 2 125
a 1 6 899
a 1 8 153
a 1 11 444
a 1 12 914
a 1 15 890
a 1 17 53
a 1 20 146
a 1 22 508
a 1 26 273
a 1 28 147
a 1 34 533
a 1 38 12
a 1 41 781
a 2 4 791
a 2 11 634
a 2 20 656
a 2 21 144
a 2 25 126
a 2 29 701
a 2 30 626
a 2 43 748
a 2 44 533
a 3 10 283
a 3 12 324
a 3 13 772
a 3 17 991
a 3 18 36
a 3 21 936
a 3 26 546
a 3 33 4
a 3 35 60
a 3 40 796
a 3 45 508
a 3 46 856
a 3 47 709
a 3 49 398
a 4 6 908
a 4 12 854
a 4 16 257
a 4 29 532
a 4 32 353
a 4 41 789
a 4 46 896
a 4 48 485
a 5 7 931
a 5 8 529
a 5 9 140
a 5 17 75
a 5 20 654
a 5 27 193
a 5 33 52
a 5 35 754
a 5 38 725
a 6 17 687
a 6 20 77
a 6 24 848
a 6 35 29
a 6 36 464
a 6 40 783
a 6 49 926
a 6 50 468
a 7 10 194
a 7 15 721
a 7 17 975
a 7 27 401
a 7 28 429
a 7 29 724
a 7 37 660
a 7 49 635
a 8 25 332
a 8 26 544
a 8 31 339
a 8 45 121
a 8 47 439
a 8 49 823
a 9 14 403
a 9 20 319
a 9 25 315
a 9 30 829
a 9 32 325
a 9 33 859
a 9 42 881
a 9 49 78
a 9 50 935
a 10 34 919
a 10 36 506
a 10 43 782
a 10 47 947
a 11 12 970
a 11 13 564
a 11 16 872
a 11 22 789
a 11 24 109
a 11 27 592
a 11 28 763
a 11 32 510
a 11 35 372
a 11 37 839
a 11 48 521
a 11 50 6
a 12 14 170
a 12 15 64
a 12 18 696
a 12 21 642
a 12 27 502
a 12 34 519
a 12 36 397
a 12 42 821
a 12 45 185
a 13 18 225
a 13 20 497
a 13 22 43
a 13 23 457
a 13 27 574
a 13 29 977
a 13 31 375
a 13 32 431
a 13 37 758
a 13 38 321
a 13 39 400
a 13 45 673
a 14 19 192
a 14 20 188
a 14 22 781
a 14 25 135
a 14 41 303
a 14 42 642
a 14 50 507
a 15 17 493
a 15 18 163
a 15 21 864
a 15 24 662
a 15 28 226
a 15 36 560
a 15 40 656
a 15 42 80
a 15 43 430
a 15 50 52
a 16 20 252
a 16 26 614
a 16 28 628
a 16 38 748
a 16 45 656
a 17 21 85
a 17 23 673
a 17 24 632
a 17 31 459
a 17 38 103
a 17 41 741
a 17 44 132
a 17 49 855
a 17 50 413
a 18 19 323
a 18 22 394
a 18 26 545
a 18 31 810
a 18 33 48
a 18 39 187
a 18 45 668
a 18 50 540
a 19 28 701
a 19 30 531
a 19 33 554
a 19 36 278
a 19 38 442
a 19 44 209
a 20 24 357
a 20 25 871
a 20 26 612
a 20 29 608
a 20 36 836
a 20 41 239
a 20 44 707
a 21 25 843
a 21 30 675
a 21 31 379
a 21 34 474
a 21 36 134
a 21 44 834
a 22 25 566
a 22 37 265
a 22 41 688
a 23 24 330
a 23 26 939
a 23 28 433
a 23 29 875
a 23 33 100
a 23 34 481
a 23 42 413
a 23 44 767
a 23 45 20
a 23 46 465
a 24 30 298
a 24 33 573
a 24 37 742
a 24 44 91
a 24 47 133
a 24 49 99
a 24 50 314
a 25 26 96
a 25 33 58
a 25 35 149
a 25 40 335
a 25 43 765
a 25 46 992
a 26 27 361
a 26 31 495
a 26 40 817
a 26 44 494
a 26 47 328
a 26 49 735
a 27 30 110
a 27 40 15
a 28 47 64
a 28 48 401
a 28 49 800
a 29 42 290
a 29 44 500
a 29 46 280
a 29 48 702
a 30 32 267
a 30 34 299
a 30 39 518
a 30 46 916
a 30 48 224
a 31 46 260
a 31 49 6
a 31 50 356
a 32 38 710
a 32 46 671
a 32 50 452
a 33 34 119
a 33 35 820
a 33 39 138
a 33 44 883
a 33 49 163
a 33 50 850
a 34 37 378
a 34 39 331
a 34 42 344
a 34 46 57
a 34 47 65
a 35 43 805
a 35 47 424
a 36 41 129
a 36 50 205
a 37 39 223
a 37 42 418
a 37 44 57
a 37 49 502
a 37 50 472
a 38 41 323
a 38 45 152
a 38 46 989
a 39 46 238
a 40 49 375
a 40 50 600
a 41 45 595
a 42 43 83
a 43 44 661
a 43 48 266
a 44 47 886
a 46 48 780
